TF	target	score
ARNT	MAPK12	1
ARNT	ERAL1	1
ARNT	INHA	1
ARNT	EPAS1	1
ARNT	GALNT12	1
ARNT	PDS5A	1
ARNT	COPS7A	1
ARNT	ZDHHC17	1
ARNT	SIAH2	1
ARNT	NTN3	1
ARNT	KDM6B	1
ARNT	KCTD11	1
ARNT	FAM83F	1
ARNT	MCOLN1	1
ARNT	MIR3621	1
ARNT	UNC93B1	1
ARNT	KIAA0247	1
ARNT	EFNA4	1
ARNT	SFXN2	1
ARNT	TBC1D10A	1
ARNT	MSANTD2	1
ARNT	MAN1C1	1
ARNT	IQSEC1	1
ARNT	HSF4	1
ARNT	ADAMTS13	1
ARNT	RAVER1	1
ARNT	EPB41L1	1
ARNT	LRRC59	1
ARNT	PIP5K1A	1
ARNT	CACNA1F	1
ARNT	LRRC47	1
ARNT	DRAP1	1
ARNT	FBXO32	1
ARNT	KIAA2013	1
ARNT	PRCD	1
ARNT	SLC25A11	1
ARNT	CAMK2B	1
ARNT	NFIX	1
ARNT	LCNL1	1
ARNT	PFN1	1
ARNT	ITGA3	1
ARNT	IFRD2	1
ARNT	SYT12	1
ARNT	MIR4258	1
ARNT	SOX12	1
ARNT	CTNNA1	1
ARNT	FBXL16	1
ARNT	TRMT1	1
ARNT	SCYL1	1
ARNT	PYCRL	1
ARNT	TSHZ2	1
ARNT	AAAS	1
ARNT	RAI1	1
ARNT	WDR33	1
ARNT	CDK6	1
ARNT	YIPF5	1
ARNT	PPP2R5B	1
ARNT	NAA15	1
ARNT	MRPL49	1
ARNT	STX16	1
ARNT	NDUFA4L2	1
ARNT	TMEM116	1
ARNT	EXT1	1
ARNT	SLC35B2	1
ARNT	FKBP4	1
ARNT	TIPARP-AS1	1
ARNT	QRICH1	1
ARNT	WBSCR22	1
ARNT	BAHCC1	1
ARNT	VEGFA	1
ARNT	CRY1	1
ARNT	FIBP	1
ARNT	CA9	1
ARNT	PTMA	1
ARNT	PDE4A	1
ARNT	MRPS15	1
ARNT	EIF5A	1
ARNT	YARS	1
ARNT	ANKS1A	1
ARNT	FOXP1	1
ARNT	TPCN1	1
ARNT	CTDSPL	1
ARNT	ZBTB17	1
ARNT	NSMCE2	1
ARNT	EEF1D	1
ARNT	CAHM	1
ARNT	PFN3	1
ARNT	MOV10	1
ARNT	ZFX	1
ARNT	PSENEN	1
ARNT	BCAT2	1
ARNT	UCK2	1
ARNT	C8orf44	1
ARNT	TGIF2	1
ARNT	TM7SF2	1
ARNT	NPM3	1
ARNT	DOC2GP	1
ARNT	CHCHD10	1
ARNT	CHMP2A	1
ARNT	MAPK8IP3	1
ARNT	MIR23A	1
ARNT	PITPNM1	1
ARNT	MEF2D	1
ARNT	BNIP3	1
ARNT	PIM2	1
ARNT	GPRC5C	1
ARNT	KCNH4	1
ARNT	SH3PXD2A	1
ARNT	CPLX3	1
ARNT	ENO2	1
ARNT	NR2C2	1
ARNT	MIR3132	1
ARNT	CHMP1A	1
ARNT	CHD3	1
ARNT	FGFR1	1
ARNT	TPRN	1
ARNT	AANAT	1
ARNT	TMEM95	1
ARNT	AIFM3	1
ARNT	PLEKHG2	1
ARNT	ZNF503	1
ARNT	TEX14	1
ARNT	TBK1	1
ARNT	CD47	1
ARNT	SLC4A2	1
ARNT	DPH2	1
ARNT	SORL1	1
ARNT	EBAG9	1
ARNT	MIR3917	1
ARNT	PI4KA	1
ARNT	SYP	1
ARNT	N4BP3	1
ARNT	KCNAB3	1
ARNT	PVRL1	1
ARNT	AMPD2	1
ARNT	IZUMO4	1
ARNT	PPARGC1A	1
ARNT	ADRA1D	1
ARNT	CABLES1	1
ARNT	ZMIZ1	1
ARNT	RAB11B	1
ARNT	TRAF4	1
